Product Code,Product Label,"UAE export to south africa Value in 2022, USD thousands","nnual growth in value uae export to south africa between 2018-2022, %, p.a","Share in United Arab Emirates's exports, %",Equivalent ad valorem tariff faced by United Arab Emirates,Quantity exported from uae to south africa in 2022 ,Quantity unit ,Unit value (USD/unit) ,Number of non-tariff requirements faced by United Arab Emirates ,"south africa imports from world Value in 2022, USD thousand ","Annual growth south africa imports from world  in value between 2018-2022, %, p.a. ","Share in world imports, % ",Quantity exported from south africa to world in 2022 ,Quantity unit ,Unit value (USD/unit) ,"Uae export to world Value in 2022, USD thousand ","Annual growth in value between 2018-2022, %, p.a. ","UAE Share in world exports, % ",Quantity exported from uae to world in 2022 ,Quantity unit ,Unit value (USD/unit) ,"Estimation of untapped potential trade, USD thousand"
30289,"Fresh or chilled fish, n.e.s.",,,,0,,,,,130,45,0,150,Tons,867,56,-16,0,"1,826",Tons,"5,321",
30291,"Fresh or chilled fish livers, roes and milt",,,0,0,,,,,2,-19,0,0,Tons,,,,,4,Tons,"37,500",
30299,"Fresh or chilled fish fins, heads, tails, maws and other edible fish offal (excl. livers, roes, . . .",,,,0,,,,,17,,0,3,Tons,"5,667",1,-48,0,4,Tons,"1,750",
30312,"Frozen Pacific salmon (excl. sockeye salmon ""red salmon"")",,,,25,,,,,0,,0,,Tons,,163,7,0,0,Tons,,
30313,"Frozen, Atlantic salmon ""Salmo salar"" and Danube salmon ""Hucho hucho""",,,,25,,,,,"7,819",-7,1,955,Tons,"8,187",274,52,0,"2,758",Tons,"7,992",16
30314,"Frozen trout ""Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, . . .",,,0,25,,,,,"3,164",4,1,559,Tons,"5,660",,,,0,Tons,,
30319,"Frozen salmonidae (excl. trout and Pacific, Atlantic and Danube salmon)",,,,25,,,,,0,,0,,Tons,,778,-8,1,64,Tons,"5,391",
30323,"Frozen tilapia ""Oreochromis spp.""",,,,0,,,,,"7,226",2,2,"7,825",Tons,923,316,272,0,"2,307",Tons,"1,206",
30324,"Frozen catfish ""Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.""",,,,0,,,,,155,-20,0,149,Tons,"1,040",2,,0,"1,030",Tons,"1,561",
30325,"Frozen carp ""Cyprinus spp., Carassius spp., Ctenopharyngodon idellus, Hypophthalmichthys spp., . . .",,,0,0,,,,,191,589,0,237,,806,,,,"3,820",,"1,495",
30326,"Frozen eels ""Anguilla spp.""",,,0,,,,,,1,-29,0,0,,,,,,,,,
30329,"Frozen, Nile perch (Lates niloticus) and snakeheads (Channa spp.)",,,,0,,,,,0,,0,,Tons,,10,-45,0,62,Tons,"3,161",
30331,"Frozen lesser or Greenland halibut ""Reinhardtius hippoglossoides"", Atlantic halibut ""Hippoglossus . . .",,,,0,,,,,4,,0,2,,"2,000",8,,0,0,,,
30333,"Frozen sole ""Solea spp.""",,,,0,,,,,"1,058",-16,2,382,Tons,"2,770",80,,0,7,Tons,"6,000",
30339,"Frozen flat fish ""Pleuronectidae, Bothidae, Cynoglossidae, Soleidae, Scophthalmidae and Citharidae"" . . .",,,,0,,,,,45,-33,0,17,Tons,"2,647",1,69,0,386,Tons,"2,119",
30341,"Frozen albacore or longfinned tunas ""Thunnus alalunga""",,,,0,,,,,"1,575",28,0,387,Tons,"4,070",16,21,0,,Tons,,
30342,"Frozen yellowfin tunas ""Thunnus albacares""",,,,0,,,,,128,-33,0,17,Tons,"7,529",90,33,0,1,Tons,"22,000",6
30343,"Frozen skipjack or stripe-bellied bonito ""Euthynnus -Katsuwonus- pelamis""",,,,0,,,,,9,8,0,8,,"1,125",13,,0,313,,"1,300",1
30344,"Frozen bigeye tunas ""Thunnus obesus""",,,0,,,,,,46,-44,0,37,Tons,"1,243",,,,,Tons,,
30349,"Frozen tunas of the genus ""Thunnus"" (excl. Thunnus alalunga, Thunnus albacares, Thunnus obesus, . . .",,,,0,,,,,303,-21,0,24,Tons,"12,625",42,-40,0,446,Tons,"2,726",
30351,"Frozen herrings ""Clupea harengus, Clupea pallasii""",,,,0,,,,,0,,0,,Tons,,51,-47,0,47,Tons,"1,255",
30353,"Frozen sardines ""Sardina pilchardus, Sardinops spp."", sardinella ""Sardinella spp."", brisling . . .",,,,0,,,,,"110,289",10,15,"113,715",Tons,970,497,43,0,485,Tons,"1,767",41
30354,"Frozen mackerel ""Scomber scombrus, Scomber australasicus, Scomber japonicus""",,,,0,,,,,931,-15,0,723,Tons,"1,288",186,18,0,748,Tons,"2,040",5
30355,"Frozen jack and horse mackerel ""Trachurus spp.""",,,,0,,,,,"15,224",-7,2,"14,190",Tons,"1,073",588,132,0,157,Tons,"1,510",
30359,"Frozen anchovies ""Engraulis spp."", Indian mackerels ""Rastrelliger spp."", seerfishes ""Scomberomorus . . .",,,,0,,,,,707,,0,278,Tons,"2,543","1,601",198,0,"1,144",Tons,"3,847",
30363,"Frozen cod ""Gadus morhua, Gadus ogac, Gadus macrocephalus""",,,,0,,,,,129,8,0,30,Tons,"4,300",2,-42,0,263,Tons,"4,871",
30364,"Frozen haddock ""Melanogrammus aeglefinus""",,,,0,,,,,0,,0,,Tons,,29,,0,,Tons,,
30365,"Frozen coalfish ""Pollachius virens""",,,,,,,,,0,,0,,,,10,,0,,,,
30366,"Frozen hake ""Merluccius spp., Urophycis spp.""",,,,0,,,,,"23,043",-9,5,"14,519",Tons,"1,587",14,,0,144,Tons,"1,250",
30367,"Frozen Alaska pollack ""Theragra chalcogramma""",,,0,0,,,,,715,128,0,438,Tons,"1,632",,,,3,Tons,"4,333",
30368,"Frozen blue whiting ""Micromesistius poutassou, Micromesistius australis""",,,,0,,,,,"1,878",11,1,"1,288",Tons,"1,458",125,3,0,472,Tons,888,
30369,"Frozen fish of the families Bregmacerotidae, Euclichthyidae, Gadidae, Macrouridae, Melanonidae, . . .",,,,0,,,,,285,-32,0,49,Tons,"5,816",223,11,0,98,Tons,"1,184",
30381,Frozen dogfish and other sharks,,,,0,,,,,2,-17,0,3,Tons,667,41,,0,,Tons,,
30382,"Frozen rays and skates ""Rajidae""",,,,0,,,,,0,,0,,Tons,,126,484,0,15,Tons,"2,200",
30383,"Frozen toothfish ""Dissostichus spp.""",,,,0,,,,,0,,0,,Tons,,7,,0,83,Tons,"11,217",
30384,"Frozen sea bass ""Dicentrarchus spp.""",,,,0,,,,,"1,067",-6,2,234,Tons,"4,560",152,17,0,40,Tons,"13,200",-
30389,"Frozen fish, n.e.s.",,,,0,,,,,"18,088",-1,0,"10,631",Tons,"1,701","5,400",2,0,"19,234",Tons,"1,525",
30399,"Frozen fish fins, heads, tails, maws and other edible fish offal (excl. livers, roes, milt . . .",,,,0,,,,,8,-43,0,1,Tons,"8,000",79,-24,0,1,Tons,"29,000",
30431,"Fresh or chilled fillets of tilapia ""Oreochromis spp.""",,,,25,,,,,0,,0,,Tons,,33,78,0,41,Tons,"7,390",
30432,"Fresh or chilled fillets of catfish ""Pangasius spp., Silurus spp., Clarias spp., Ictalurus . . .",,,,25,,,,,0,,0,,Tons,,1,4,0,2,Tons,"5,000",
30433,"Fresh or chilled fillets of Nile perch ""Lates niloticus""",,,,,,,,,0,,0,,,,22,-8,0,55,,"5,327",
30439,"Fresh or chilled fillets of carp ""Cyprinus spp., Carassius spp., Ctenopharyngodon idellus, . . .",,,,25,,,,,87,127,0,7,Tons,"12,429",30,156,0,1,Tons,"5,000",
30441,"Fresh or chilled fillets of Pacific salmon ""Oncorhynchus nerka, Oncorhynchus gorbuscha, Oncorhynchus . . .",,,,25,,,,,171,-26,0,10,Tons,"17,100",5,-44,0,170,Tons,"12,747",
30442,"Fresh or chilled fillets of trout ""Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, . . .",,,,25,,,,,0,,0,,Tons,,66,,0,11,Tons,"10,182",
30444,"Fresh or chilled fillets of fish of the families Bregmacerotidae, Euclichthyidae, Gadidae, . . .",,,0,25,,,,,0,,0,,Tons,,,,,2,Tons,"13,000",
30445,"Fresh or chilled fillets of swordfish ""Xiphias gladius""",,,,,,,,,0,,0,,,,3,195,0,,,,
30446,"Fresh or chilled fillets of toothfish ""Dissostichus spp.""",,,,,,,,,0,,0,,,,22,85,0,,,,
30447,Fresh or chilled fillets of dogfish and other sharks,,,,25,,,,,0,,0,,Tons,,4,215,0,,Tons,,
30449,"Fresh or chilled fillets of fish, n.e.s.",,,,13,,,,,"2,251",30,0,242,Tons,"9,302",238,-8,0,76,Tons,"26,118",
30452,"Fresh or chilled meat, whether or not minced, of salmonidae (excl. fillets)",,,,25,,,,,0,,0,,Tons,,19,,0,1,Tons,"12,000",
30454,"Fresh or chilled meat, whether or not minced, of swordfish ""Xiphias gladius"" (excl. fillets)",,,,,,,,,0,,0,,,,2,,0,,,,
30459,"Fresh or chilled fish meat, whether or not minced (excl. all fillets, tilapias, catfish, carp, . . .",,,,13,,,,,0,,0,,Tons,,17,-2,0,1,Tons,"56,000",
30461,"Frozen fillets of tilapia ""Oreochromis spp.""",,,,13,,,,,45,-44,0,30,Tons,"1,500",13,71,0,15,Tons,"2,467",
30462,"Frozen fillets of catfish ""Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.""",,,,13,,,,,691,-20,0,207,Tons,"3,338",851,43,0,71,Tons,"1,141",
30463,"Frozen fillets of Nile perch ""Lates niloticus""",,,,13,,,,,0,,0,,Tons,,140,10,0,640,Tons,"6,164",
30469,"Frozen fillets of carp ""Cyprinus spp., Carassius spp., Ctenopharyngodon idellus, Hypophthalmichthys . . .",,,0,13,,,,,62,,0,34,Tons,"1,824",,,,425,Tons,"2,033",
30471,"Frozen fillets of cod ""Gadus morhua, Gadus ogac, Gadus macrocephalus""",,,,13,,,,,0,,0,,Tons,,"1,079",68,0,66,Tons,"10,121",
30472,"Frozen fillets of haddock ""Melanogrammus aeglefinus""",,,,13,,,,,0,,0,,Tons,,2,,0,1,Tons,"11,000",
30473,"Frozen fillets of coalfish ""Pollachius virens""",,,,13,,,,,70,,0,23,,"3,043",7,,0,0,,,
30474,"Frozen fillets of hake ""Merluccius spp., Urophycis spp.""",,,,13,,,,,"26,705",-7,3,"8,088",Tons,"3,302",7,,0,3,Tons,"4,333",
30475,"Frozen fillets of Alaska pollack ""Theragra chalcogramma""",,,,13,,,,,1,-79,0,1,,"1,000",1,,0,96,,"3,219",
30479,"Frozen fillets of fish of the families Bregmacerotidae, Euclichthyidae, Gadidae, Macrouridae, . . .",,,,13,,,,,177,-23,0,94,Tons,"1,883",111,366,0,5,Tons,"5,400",
30481,"Frozen fillets of Pacific salmon ""Oncorhynchus nerka, Oncorhynchus gorbuscha, Oncorhynchus . . .",,,,13,,,,,"1,554",40,0,126,Tons,"12,333",474,7,0,499,Tons,"13,116",
30482,"Frozen fillets of trout ""Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus . . .",,,,13,,,,,0,,0,,Tons,,16,25,0,5,Tons,"8,800",
30483,"Frozen fillets of flat fish ""Pleuronectidae, Bothidae, Cynoglossidae, Soleidae, Scophthalmidae . . .",,,,13,,,,,146,6,0,86,,"1,698",65,293,0,59,,"7,780",
30484,"Frozen fillets of swordfish ""Xiphias gladius""",,,,,,,,,0,,0,,,,5,,0,,,,
30486,"Frozen fillets of herring ""Clupea harengus, Clupea pallasii""",,,0,0,,,,,18,-33,0,10,,"1,800",,,,5,,"10,800",
30487,"Frozen fillets of tuna ""of the genus Thunnus"", skipjack or stripe-bellied bonito ""Euthynnus . . .",,,,13,,,,,164,-5,0,21,Tons,"7,810",97,15,0,160,Tons,"13,656",
30489,"Frozen fish fillets, n.e.s.",,,,8,,,,,524,25,0,115,Tons,"4,557","1,597",12,0,441,Tons,"8,422",
30495,"Frozen meat, whether or not minced, of fish of the families Bregmacerotidae, Euclichthyidae, . . .",,,0,13,,,,,245,35,0,110,Tons,"2,227",,,,4,Tons,"7,000",
30497,"Frozen meat, whether or not minced, of rays and skates ""Rajidae""",,,0,,,,,,1,58,0,3,,333,,,,,,,
30499,Frozen fish meat n.e.s. (excl. fillets),,,,13,,,,,"2,399",6,0,"1,189",Tons,"2,018",774,-22,0,338,Tons,"2,769",
30510,"Flours, meals and pellets of fish, fit for human consumption",,,,0,,,,,42,,0,10,Tons,"4,200",31,45,0,8,Tons,"2,750",
