Product Code,Product Label,"UAE export to mexico Value in 2022, USD thousands","Mexico Share in United Arab Emirates's exports, %",Equivalent ad valorem tariff faced by United Arab Emirates,UAE to mexico Quantity exported in 2022 ,Quantity unit ,Unit value (USD/unit) ,Number of non-tariff requirements faced by United Arab Emirates ,"mexico import from world Value in 2022, USD thousand ","Annual growthmexico import from world in value between 2018-2022, %, p.a. ","Share in world imports mexico to world, % ",Quantity exported from mexico to world in 2022 ,Quantity unit ,Unit value (USD/unit) ,"UAE Export to world Value in 2022, USD thousand ","Annual growth in value between 2018-2022, %, p.a. ","Share in world exports, % ",Quantity exported from uae to world in 2022 ,Quantity unit ,Unit value (USD/unit) ,"Estimation of untapped potential trade, USD thousand"
21012,"Bellies ""streaky"" and cuts thereof of swine, salted, in brine, dried or smoked", , ,10, , , ,24,"72,433",-2,11,"10,629", ,"6,815",8, ,0,289, ,"4,920",
21019,"Meat of swine, salted, in brine, dried or smoked (excl. hams, shoulders and cuts thereof, with . . .", ,0,10, , , ,24,"25,921",1,1,"2,526",Tons,"10,262", , , ,341,Tons,"9,284",
21020,"Meat of bovine animals, salted, in brine, dried or smoked", , , , , , ,,0, ,0, , , ,"8,338",205,3,158, ,"12,500",
21099,"Meat and edible offal, salted, in brine, dried or smoked, and edible flours and meals of meat . . .", , ,11, , , ,152,"6,011",-9,1,"1,218",Tons,"4,935",117,-15,0,388,Tons,"2,804",
30111,Live ornamental freshwater fish, , , , , , ,,0, ,0, , , ,15, ,0,0, , ,
30119,Live ornamental fish (excl. freshwater), , ,10, , , ,25,0, ,0, ,No quantity, ,2,-42,0,0,No quantity, ,
30199,"Live fish (excl. ornamental fish, trout [Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, . . .", , ,15, , , ,64,0, ,0, ,No quantity, ,9, ,0,0,No quantity, ,
30211,"Fresh or chilled trout ""Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus . . .", , , , , , ,,0, ,0, , , ,2,94,0,163, ,"10,712",
30213,"Fresh or chilled Pacific salmon ""Oncorhynchus nerka, Oncorhynchus gorbuscha, Oncorhynchus keta, . . .", , , , , , ,,0, ,0, , , ,15,-25,0,1, ,"20,000",
30214,"Fresh or chilled Atlantic salmon ""Salmo salar"" and Danube salmon ""Hucho hucho""", , ,15, , , ,12,"5,135",102,0,521, ,"9,856",51,8,0,"7,261", ,"8,951",
30219,"Fresh or chilled salmonidae (excl. trout ""Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, . . .", , , , , , ,,0, ,0, , , ,200,2,0,159, ,"4,686",
30221,"Fresh or chilled lesser or Greenland halibut ""Reinhardtius hippoglossoides, Atlantic halibut . . .", , , , , , ,,0, ,0, , , ,4,26,0,2, ,"20,500",
30231,"Fresh or chilled albacore or longfinned tunas ""Thunnus alalunga""", , , , , , ,,0, ,0, , , ,2,-21,0,2, ,"24,500",
30232,"Fresh or chilled yellowfin tunas ""Thunnus albacares""", , ,0, , , ,15,0, ,0, ,Tons, ,2,-50,0,159,Tons,"5,176",
30239,"Fresh or chilled tunas of the genus ""Thunnus"" (excl. Thunnus alalunga, Thunnus albacares, Thunnus . . .", , , , , , ,,0, ,0, , , ,5,-24,0,3, ,"5,333",
30243,"Fresh or chilled sardines ""Sardina pilchardus, Sardinops spp."", sardinella ""Sardinella spp."", . . .", , , , , , ,,0, ,0, , , ,1, ,0,0, , ,
30244,"Fresh or chilled mackerel ""Scomber scombrus, Scomber australasicus, Scomber japonicus""", , , , , , ,,0, ,0, , , ,4,-24,0,7, ,"5,857",
30249,"Fresh or chilled Indian mackerels ""Rastrelliger spp."", seerfishes ""Scomberomorus spp."", jacks, . . .", , , , , , ,,0, ,0, , , ,3,-5,0,174, ,"6,678",
30255,"Fresh or chilled Alaska pollack ""Theragra chalcogramma""", , , , , , ,,0, ,0, , , ,11, ,0, , , ,
30279,"Fresh or chilled, Nile perch ""Lates niloticus"" and snakeheads ""Channa spp.""", , , , , , ,,0, ,0, , , ,30,37,0,72, ,"16,639",
30281,Fresh or chilled dogfish and other sharks, , , , , , ,,0, ,0, , , ,1, ,0,0, , ,
30284,"Fresh or chilled sea bass ""Dicentrarchus spp.""", , , , , , ,,0, ,0, , , ,15, ,0,"2,337", ,"7,185",
30289,"Fresh or chilled fish, n.e.s.", , ,15, , , ,38,0, ,0, ,Tons, ,56,-16,0,"1,826",Tons,"5,321",
